上海市,黄浦区,,310101
上海市,徐汇区,,310104
上海市,长宁区,,310105
上海市,静安区,,310106
上海市,普陀区,,310107
上海市,虹口区,,310109
上海市,杨浦区,,310110
上海市,闵行区,,310112
上海市,宝山区,,310113
上海市,嘉定区,,310114
上海市,浦东新区,,310115
上海市,金山区,,310116
上海市,松江区,,310117
上海市,青浦区,,310118
上海市,奉贤区,,310120
上海市,崇明区,,310230
云南省,昆明市,五华区,530102
云南省,昆明市,盘龙区,530103
云南省,昆明市,官渡区,530111
云南省,昆明市,西山区,530112
云南省,昆明市,东川区,530113
云南省,昆明市,呈贡区,530114
云南省,昆明市,晋宁区,530122
云南省,昆明市,富民县,530124
云南省,昆明市,宜良县,530125
云南省,昆明市,石林彝族自治县,530126
云南省,昆明市,嵩明县,530127
云南省,昆明市,禄劝彝族苗族自治县,530128
云南省,昆明市,寻甸回族彝族自治县,530129
云南省,昆明市,安宁市,530181
云南省,曲靖市,麒麟区,530302
云南省,曲靖市,马龙县,530321
云南省,曲靖市,陆良县,530322
云南省,曲靖市,师宗县,530323
云南省,曲靖市,罗平县,530324
云南省,曲靖市,富源县,530325
云南省,曲靖市,会泽县,530326
云南省,曲靖市,沾益区,530328
云南省,曲靖市,宣威市,530381
云南省,玉溪市,红塔区,530402
云南省,玉溪市,江川区,530421
云南省,玉溪市,澄江县,530422
云南省,玉溪市,通海县,530423
云南省,玉溪市,华宁县,530424
云南省,玉溪市,易门县,530425
云南省,玉溪市,峨山彝族自治县,530426
云南省,玉溪市,新平彝族傣族自治县,530427
云南省,玉溪市,元江哈尼族彝族傣族自治县,530428
云南省,昭通市,昭阳区,530602
云南省,昭通市,鲁甸县,530621
云南省,昭通市,巧家县,530622
云南省,昭通市,盐津县,530623
云南省,昭通市,大关县,530624
云南省,昭通市,永善县,530625
云南省,昭通市,绥江县,530626
云南省,昭通市,镇雄县,530627
云南省,昭通市,彝良县,530628
云南省,昭通市,威信县,530629
云南省,昭通市,水富县,530630
云南省,丽江市,古城区,530702
云南省,丽江市,玉龙纳西族自治县,530721
云南省,丽江市,永胜县,530722
云南省,丽江市,华坪县,530723
